chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9102564102564102	0.6859903381642513	0.91 (142 / 156)	0.69 (142 / 207)
2	0.9224137931034483	0.6993464052287581	0.92 (107 / 116)	0.70 (107 / 153)
3	0.9245283018867925	0.725925925925926	0.92 (98 / 106)	0.73 (98 / 135)
4	0.9245283018867925	0.6621621621621622	0.92 (49 / 53)	0.66 (49 / 74)
5	0.9565217391304348	0.8073394495412844	0.96 (88 / 92)	0.81 (88 / 109)
6	0.9295774647887324	0.6804123711340206	0.93 (66 / 71)	0.68 (66 / 97)
7	0.9838709677419355	0.7721518987341772	0.98 (61 / 62)	0.77 (61 / 79)
8	0.9230769230769231	0.631578947368421	0.92 (48 / 52)	0.63 (48 / 76)
9	0.9861111111111112	0.696078431372549	0.99 (71 / 72)	0.70 (71 / 102)
10	1.0	0.7317073170731707	1.00 (60 / 60)	0.73 (60 / 82)
11	0.9523809523809523	0.704225352112676	0.95 (100 / 105)	0.70 (100 / 142)
12	0.9615384615384616	0.6944444444444444	0.96 (75 / 78)	0.69 (75 / 108)
13	0.9230769230769231	0.6486486486486487	0.92 (24 / 26)	0.65 (24 / 37)
14	0.96	0.7164179104477612	0.96 (48 / 50)	0.72 (48 / 67)
15	0.9454545454545454	0.6933333333333334	0.95 (52 / 55)	0.69 (52 / 75)
16	0.9714285714285714	0.7391304347826086	0.97 (68 / 70)	0.74 (68 / 92)
17	0.9310344827586207	0.6532258064516129	0.93 (81 / 87)	0.65 (81 / 124)
18	0.9583333333333334	0.7666666666666667	0.96 (23 / 24)	0.77 (23 / 30)
19	0.9634146341463414	0.7596153846153846	0.96 (79 / 82)	0.76 (79 / 104)
20	1.0	0.7636363636363637	1.00 (42 / 42)	0.76 (42 / 55)
21	0.9411764705882353	0.7272727272727273	0.94 (16 / 17)	0.73 (16 / 22)
22	0.8918918918918919	0.7021276595744681	0.89 (33 / 37)	0.70 (33 / 47)
X	1.0	0.9477124183006536	1.00 (145 / 145)	0.95 (145 / 153)
