chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 207)
2	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 153)
3	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 135)
4	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 74)
5	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 109)
6	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 97)
7	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 79)
8	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 76)
9	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 102)
10	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 82)
11	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 142)
12	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 108)
13	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 37)
14	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 67)
15	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 75)
16	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 92)
17	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 124)
18	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 30)
19	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 104)
20	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 55)
21	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 22)
22	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 47)
X	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 153)
