chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9626168224299065	0.4975845410628019	0.96 (103 / 107)	0.50 (103 / 207)
2	0.9878048780487805	0.5294117647058824	0.99 (81 / 82)	0.53 (81 / 153)
3	0.9058823529411765	0.5703703703703704	0.91 (77 / 85)	0.57 (77 / 135)
4	0.972972972972973	0.4864864864864865	0.97 (36 / 37)	0.49 (36 / 74)
5	0.971830985915493	0.6330275229357798	0.97 (69 / 71)	0.63 (69 / 109)
6	0.9154929577464789	0.6701030927835051	0.92 (65 / 71)	0.67 (65 / 97)
7	0.9803921568627451	0.6329113924050633	0.98 (50 / 51)	0.63 (50 / 79)
8	0.9459459459459459	0.4605263157894737	0.95 (35 / 37)	0.46 (35 / 76)
9	0.9642857142857143	0.5294117647058824	0.96 (54 / 56)	0.53 (54 / 102)
10	0.9148936170212766	0.524390243902439	0.91 (43 / 47)	0.52 (43 / 82)
11	0.9855072463768116	0.4788732394366197	0.99 (68 / 69)	0.48 (68 / 142)
12	0.9076923076923077	0.5462962962962963	0.91 (59 / 65)	0.55 (59 / 108)
13	0.8571428571428571	0.32432432432432434	0.86 (12 / 14)	0.32 (12 / 37)
14	0.9333333333333333	0.6268656716417911	0.93 (42 / 45)	0.63 (42 / 67)
15	1.0	0.5466666666666666	1.00 (41 / 41)	0.55 (41 / 75)
16	0.9245283018867925	0.532608695652174	0.92 (49 / 53)	0.53 (49 / 92)
17	0.9634146341463414	0.6370967741935484	0.96 (79 / 82)	0.64 (79 / 124)
18	1.0	0.6666666666666666	1.00 (20 / 20)	0.67 (20 / 30)
19	0.9726027397260274	0.6826923076923077	0.97 (71 / 73)	0.68 (71 / 104)
20	1.0	0.6	1.00 (33 / 33)	0.60 (33 / 55)
21	1.0	0.5909090909090909	1.00 (13 / 13)	0.59 (13 / 22)
22	0.896551724137931	0.5531914893617021	0.90 (26 / 29)	0.55 (26 / 47)
X	1.0	0.8627450980392157	1.00 (132 / 132)	0.86 (132 / 153)
