chromosomes	precision	sensitivity	precision text	sensitivity text
1	1.0	0.028985507246376812	1.00 (6 / 6)	0.03 (6 / 207)
2	1.0	0.0196078431372549	1.00 (3 / 3)	0.02 (3 / 153)
3	0.0	0.0	0.00 (0 / 1)	0.00 (0 / 135)
4	1.0	0.04054054054054054	1.00 (3 / 3)	0.04 (3 / 74)
5	1.0	0.027522935779816515	1.00 (3 / 3)	0.03 (3 / 109)
6	0.8333333333333334	0.05154639175257732	0.83 (5 / 6)	0.05 (5 / 97)
7	1.0	0.02531645569620253	1.00 (2 / 2)	0.03 (2 / 79)
8	0.8333333333333334	0.06578947368421052	0.83 (5 / 6)	0.07 (5 / 76)
9	1.0	0.0392156862745098	1.00 (4 / 4)	0.04 (4 / 102)
10	0.9999999999999998	0.012195121951219513	1.00 (1 / 1)	0.01 (1 / 82)
11	1.0	0.035211267605633804	1.00 (5 / 5)	0.04 (5 / 142)
12	0.8	0.037037037037037035	0.80 (4 / 5)	0.04 (4 / 108)
13	0.9999999999999998	0.02702702702702703	1.00 (1 / 1)	0.03 (1 / 37)
14	1.0	0.029850746268656716	1.00 (2 / 2)	0.03 (2 / 67)
15	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 75)
16	1.0	0.14130434782608695	1.00 (13 / 13)	0.14 (13 / 92)
17	1.0	0.07258064516129033	1.00 (9 / 9)	0.07 (9 / 124)
18	0.9999999999999998	0.03333333333333333	1.00 (1 / 1)	0.03 (1 / 30)
19	0.8888888888888888	0.07692307692307693	0.89 (8 / 9)	0.08 (8 / 104)
20	1.0	0.07272727272727272	1.00 (4 / 4)	0.07 (4 / 55)
21	1.0	0.09090909090909091	1.00 (2 / 2)	0.09 (2 / 22)
22	0.8	0.0851063829787234	0.80 (4 / 5)	0.09 (4 / 47)
X	1.0	0.058823529411764705	1.00 (9 / 9)	0.06 (9 / 153)
