chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9117647058823529	0.4492753623188406	0.91 (93 / 102)	0.45 (93 / 207)
2	0.918918918918919	0.4444444444444444	0.92 (68 / 74)	0.44 (68 / 153)
3	0.8928571428571429	0.5555555555555556	0.89 (75 / 84)	0.56 (75 / 135)
4	0.9666666666666667	0.3918918918918919	0.97 (29 / 30)	0.39 (29 / 74)
5	0.9516129032258065	0.5412844036697247	0.95 (59 / 62)	0.54 (59 / 109)
6	0.8833333333333333	0.5463917525773195	0.88 (53 / 60)	0.55 (53 / 97)
7	0.9782608695652174	0.569620253164557	0.98 (45 / 46)	0.57 (45 / 79)
8	0.9523809523809523	0.5263157894736842	0.95 (40 / 42)	0.53 (40 / 76)
9	1.0	0.5490196078431373	1.00 (56 / 56)	0.55 (56 / 102)
10	0.9772727272727273	0.524390243902439	0.98 (43 / 44)	0.52 (43 / 82)
11	0.961038961038961	0.5211267605633803	0.96 (74 / 77)	0.52 (74 / 142)
12	0.9298245614035088	0.49074074074074076	0.93 (53 / 57)	0.49 (53 / 108)
13	0.8823529411764706	0.40540540540540543	0.88 (15 / 17)	0.41 (15 / 37)
14	1.0	0.5522388059701493	1.00 (37 / 37)	0.55 (37 / 67)
15	0.9761904761904762	0.5466666666666666	0.98 (41 / 42)	0.55 (41 / 75)
16	1.0	0.6195652173913043	1.00 (57 / 57)	0.62 (57 / 92)
17	0.9206349206349206	0.46774193548387094	0.92 (58 / 63)	0.47 (58 / 124)
18	0.95	0.6333333333333333	0.95 (19 / 20)	0.63 (19 / 30)
19	0.9473684210526315	0.5192307692307693	0.95 (54 / 57)	0.52 (54 / 104)
20	1.0	0.6181818181818182	1.00 (34 / 34)	0.62 (34 / 55)
21	1.0	0.45454545454545453	1.00 (10 / 10)	0.45 (10 / 22)
22	0.9230769230769231	0.5106382978723404	0.92 (24 / 26)	0.51 (24 / 47)
X	1.0	0.7843137254901961	1.00 (120 / 120)	0.78 (120 / 153)
