chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9083333333333333	0.5265700483091788	0.91 (109 / 120)	0.53 (109 / 207)
2	0.9333333333333333	0.5490196078431373	0.93 (84 / 90)	0.55 (84 / 153)
3	0.9069767441860465	0.5777777777777777	0.91 (78 / 86)	0.58 (78 / 135)
4	1.0	0.5135135135135135	1.00 (38 / 38)	0.51 (38 / 74)
5	0.9342105263157895	0.6513761467889908	0.93 (71 / 76)	0.65 (71 / 109)
6	0.8939393939393939	0.6082474226804123	0.89 (59 / 66)	0.61 (59 / 97)
7	0.98	0.620253164556962	0.98 (49 / 50)	0.62 (49 / 79)
8	0.9333333333333333	0.5526315789473685	0.93 (42 / 45)	0.55 (42 / 76)
9	0.984375	0.6176470588235294	0.98 (63 / 64)	0.62 (63 / 102)
10	0.96	0.5853658536585366	0.96 (48 / 50)	0.59 (48 / 82)
11	0.9404761904761905	0.5563380281690141	0.94 (79 / 84)	0.56 (79 / 142)
12	0.9375	0.5555555555555556	0.94 (60 / 64)	0.56 (60 / 108)
13	0.85	0.4594594594594595	0.85 (17 / 20)	0.46 (17 / 37)
14	1.0	0.6417910447761194	1.00 (43 / 43)	0.64 (43 / 67)
15	0.9772727272727273	0.5733333333333334	0.98 (43 / 44)	0.57 (43 / 75)
16	1.0	0.5869565217391305	1.00 (54 / 54)	0.59 (54 / 92)
17	0.9285714285714286	0.5241935483870968	0.93 (65 / 70)	0.52 (65 / 124)
18	0.9545454545454546	0.7	0.95 (21 / 22)	0.70 (21 / 30)
19	0.9545454545454546	0.6057692307692307	0.95 (63 / 66)	0.61 (63 / 104)
20	1.0	0.6545454545454545	1.00 (36 / 36)	0.65 (36 / 55)
21	1.0	0.5909090909090909	1.00 (13 / 13)	0.59 (13 / 22)
22	0.9230769230769231	0.5106382978723404	0.92 (24 / 26)	0.51 (24 / 47)
X	1.0	0.9215686274509803	1.00 (141 / 141)	0.92 (141 / 153)
