chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.896551724137931	0.5024154589371981	0.90 (104 / 116)	0.50 (104 / 207)
2	0.9382716049382716	0.49673202614379086	0.94 (76 / 81)	0.50 (76 / 153)
3	0.9125	0.5407407407407407	0.91 (73 / 80)	0.54 (73 / 135)
4	1.0	0.43243243243243246	1.00 (32 / 32)	0.43 (32 / 74)
5	0.9428571428571428	0.6055045871559633	0.94 (66 / 70)	0.61 (66 / 109)
6	0.8947368421052632	0.5257731958762887	0.89 (51 / 57)	0.53 (51 / 97)
7	0.9795918367346939	0.6075949367088608	0.98 (48 / 49)	0.61 (48 / 79)
8	0.926829268292683	0.5	0.93 (38 / 41)	0.50 (38 / 76)
9	0.9824561403508771	0.5490196078431373	0.98 (56 / 57)	0.55 (56 / 102)
10	0.9583333333333334	0.5609756097560976	0.96 (46 / 48)	0.56 (46 / 82)
11	0.9594594594594594	0.5	0.96 (71 / 74)	0.50 (71 / 142)
12	0.9230769230769231	0.5555555555555556	0.92 (60 / 65)	0.56 (60 / 108)
13	0.8947368421052632	0.4594594594594595	0.89 (17 / 19)	0.46 (17 / 37)
14	1.0	0.5970149253731343	1.00 (40 / 40)	0.60 (40 / 67)
15	0.9761904761904762	0.5466666666666666	0.98 (41 / 42)	0.55 (41 / 75)
16	1.0	0.4891304347826087	1.00 (45 / 45)	0.49 (45 / 92)
17	0.9285714285714286	0.5241935483870968	0.93 (65 / 70)	0.52 (65 / 124)
18	0.9473684210526315	0.6	0.95 (18 / 19)	0.60 (18 / 30)
19	0.9354838709677419	0.5576923076923077	0.94 (58 / 62)	0.56 (58 / 104)
20	1.0	0.6181818181818182	1.00 (34 / 34)	0.62 (34 / 55)
21	1.0	0.5454545454545454	1.00 (12 / 12)	0.55 (12 / 22)
22	0.9166666666666666	0.46808510638297873	0.92 (22 / 24)	0.47 (22 / 47)
X	1.0	0.9673202614379085	1.00 (148 / 148)	0.97 (148 / 153)
