chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.921875	0.855072463768116	0.92 (177 / 192)	0.86 (177 / 207)
2	0.9375	0.8823529411764706	0.94 (135 / 144)	0.88 (135 / 153)
3	0.9349593495934959	0.8518518518518519	0.93 (115 / 123)	0.85 (115 / 135)
4	0.9230769230769231	0.8108108108108109	0.92 (60 / 65)	0.81 (60 / 74)
5	0.9615384615384616	0.9174311926605505	0.96 (100 / 104)	0.92 (100 / 109)
6	0.9361702127659575	0.9072164948453608	0.94 (88 / 94)	0.91 (88 / 97)
7	0.972972972972973	0.9113924050632911	0.97 (72 / 74)	0.91 (72 / 79)
8	0.9402985074626866	0.8289473684210527	0.94 (63 / 67)	0.83 (63 / 76)
9	0.9895833333333334	0.9313725490196079	0.99 (95 / 96)	0.93 (95 / 102)
10	0.9459459459459459	0.8536585365853658	0.95 (70 / 74)	0.85 (70 / 82)
11	0.953125	0.8591549295774648	0.95 (122 / 128)	0.86 (122 / 142)
12	0.9484536082474226	0.8518518518518519	0.95 (92 / 97)	0.85 (92 / 108)
13	0.8787878787878788	0.7837837837837838	0.88 (29 / 33)	0.78 (29 / 37)
14	0.9375	0.8955223880597015	0.94 (60 / 64)	0.90 (60 / 67)
15	0.9838709677419355	0.8133333333333334	0.98 (61 / 62)	0.81 (61 / 75)
16	0.9512195121951219	0.8478260869565217	0.95 (78 / 82)	0.85 (78 / 92)
17	0.9482758620689655	0.8870967741935484	0.95 (110 / 116)	0.89 (110 / 124)
18	0.9642857142857143	0.9	0.96 (27 / 28)	0.90 (27 / 30)
19	0.9433962264150944	0.9615384615384616	0.94 (100 / 106)	0.96 (100 / 104)
20	0.98	0.8909090909090909	0.98 (49 / 50)	0.89 (49 / 55)
21	1.0	0.9090909090909091	1.00 (20 / 20)	0.91 (20 / 22)
22	0.9130434782608695	0.8936170212765957	0.91 (42 / 46)	0.89 (42 / 47)
X	1.0	0.9869281045751634	1.00 (151 / 151)	0.99 (151 / 153)
