chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9056603773584906	0.463768115942029	0.91 (96 / 106)	0.46 (96 / 207)
2	0.9390243902439024	0.5032679738562091	0.94 (77 / 82)	0.50 (77 / 153)
3	0.9058823529411765	0.5703703703703704	0.91 (77 / 85)	0.57 (77 / 135)
4	1.0	0.44594594594594594	1.00 (33 / 33)	0.45 (33 / 74)
5	0.9333333333333333	0.6422018348623854	0.93 (70 / 75)	0.64 (70 / 109)
6	0.8852459016393442	0.5567010309278351	0.89 (54 / 61)	0.56 (54 / 97)
7	0.9777777777777777	0.5569620253164557	0.98 (44 / 45)	0.56 (44 / 79)
8	0.9361702127659575	0.5789473684210527	0.94 (44 / 47)	0.58 (44 / 76)
9	1.0	0.6470588235294118	1.00 (66 / 66)	0.65 (66 / 102)
10	0.9574468085106383	0.5487804878048781	0.96 (45 / 47)	0.55 (45 / 82)
11	0.9390243902439024	0.5422535211267606	0.94 (77 / 82)	0.54 (77 / 142)
12	0.9333333333333333	0.5185185185185185	0.93 (56 / 60)	0.52 (56 / 108)
13	0.8888888888888888	0.43243243243243246	0.89 (16 / 18)	0.43 (16 / 37)
14	1.0	0.6268656716417911	1.00 (42 / 42)	0.63 (42 / 67)
15	1.0	0.5466666666666666	1.00 (41 / 41)	0.55 (41 / 75)
16	0.9827586206896551	0.6195652173913043	0.98 (57 / 58)	0.62 (57 / 92)
17	0.9242424242424242	0.49193548387096775	0.92 (61 / 66)	0.49 (61 / 124)
18	0.95	0.6333333333333333	0.95 (19 / 20)	0.63 (19 / 30)
19	0.9482758620689655	0.5288461538461539	0.95 (55 / 58)	0.53 (55 / 104)
20	1.0	0.6181818181818182	1.00 (34 / 34)	0.62 (34 / 55)
21	1.0	0.5454545454545454	1.00 (12 / 12)	0.55 (12 / 22)
22	0.9285714285714286	0.5531914893617021	0.93 (26 / 28)	0.55 (26 / 47)
X	1.0	0.8562091503267973	1.00 (131 / 131)	0.86 (131 / 153)
