chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.8333333333333334	0.024154589371980676	0.83 (5 / 6)	0.02 (5 / 207)
2	0.75	0.0196078431372549	0.75 (3 / 4)	0.02 (3 / 153)
3	1.0	0.02962962962962963	1.00 (4 / 4)	0.03 (4 / 135)
4	0.75	0.04054054054054054	0.75 (3 / 4)	0.04 (3 / 74)
5	1.0	0.01834862385321101	1.00 (2 / 2)	0.02 (2 / 109)
6	0.7142857142857143	0.05154639175257732	0.71 (5 / 7)	0.05 (5 / 97)
7	0.8333333333333334	0.06329113924050633	0.83 (5 / 6)	0.06 (5 / 79)
8	0.3333333333333333	0.02631578947368421	0.33 (2 / 6)	0.03 (2 / 76)
9	0.8	0.0392156862745098	0.80 (4 / 5)	0.04 (4 / 102)
10	1.0	0.07317073170731707	1.00 (6 / 6)	0.07 (6 / 82)
11	0.7777777777777778	0.04929577464788732	0.78 (7 / 9)	0.05 (7 / 142)
12	1.0	0.018518518518518517	1.00 (2 / 2)	0.02 (2 / 108)
13	1.0	0.05405405405405406	1.00 (2 / 2)	0.05 (2 / 37)
14	1.0	0.04477611940298507	1.00 (3 / 3)	0.04 (3 / 67)
15	1.0	0.02666666666666667	1.00 (2 / 2)	0.03 (2 / 75)
16	0.875	0.07608695652173914	0.88 (7 / 8)	0.08 (7 / 92)
17	1.0	0.07258064516129033	1.00 (9 / 9)	0.07 (9 / 124)
18	1.0	0.06666666666666667	1.00 (2 / 2)	0.07 (2 / 30)
19	0.8888888888888888	0.07692307692307693	0.89 (8 / 9)	0.08 (8 / 104)
20	1.0	0.03636363636363636	1.00 (2 / 2)	0.04 (2 / 55)
21	1.0	0.09090909090909091	1.00 (2 / 2)	0.09 (2 / 22)
22	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 47)
X	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 153)
