chromosomes	precision	sensitivity	precision text	sensitivity text
1	0.9285714285714286	0.06280193236714976	0.93 (13 / 14)	0.06 (13 / 207)
2	0.6666666666666666	0.013071895424836602	0.67 (2 / 3)	0.01 (2 / 153)
3	1.0	0.05185185185185185	1.00 (7 / 7)	0.05 (7 / 135)
4	1.0	0.04054054054054054	1.00 (3 / 3)	0.04 (3 / 74)
5	1.0	0.05504587155963303	1.00 (6 / 6)	0.06 (6 / 109)
6	0.8333333333333334	0.05154639175257732	0.83 (5 / 6)	0.05 (5 / 97)
7	1.0	0.0759493670886076	1.00 (6 / 6)	0.08 (6 / 79)
8	0.9999999999999998	0.013157894736842105	1.00 (1 / 1)	0.01 (1 / 76)
9	1.0	0.029411764705882353	1.00 (3 / 3)	0.03 (3 / 102)
10	1.0	0.06097560975609756	1.00 (5 / 5)	0.06 (5 / 82)
11	1.0	0.04929577464788732	1.00 (7 / 7)	0.05 (7 / 142)
12	1.0	0.046296296296296294	1.00 (5 / 5)	0.05 (5 / 108)
13	0.9999999999999998	0.02702702702702703	1.00 (1 / 1)	0.03 (1 / 37)
14	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 67)
15	1.0	0.05333333333333334	1.00 (4 / 4)	0.05 (4 / 75)
16	0.9	0.09782608695652174	0.90 (9 / 10)	0.10 (9 / 92)
17	1.0	0.07258064516129033	1.00 (9 / 9)	0.07 (9 / 124)
18	0.9999999999999998	0.03333333333333333	1.00 (1 / 1)	0.03 (1 / 30)
19	0.9411764705882353	0.15384615384615385	0.94 (16 / 17)	0.15 (16 / 104)
20	1.0	0.05454545454545454	1.00 (3 / 3)	0.05 (3 / 55)
21	0.0	0.0	0.00 (0 / 0)	0.00 (0 / 22)
22	0.9999999999999998	0.02127659574468085	1.00 (1 / 1)	0.02 (1 / 47)
X	1.0	0.026143790849673203	1.00 (4 / 4)	0.03 (4 / 153)
