Gene stable ID	Karyotype band	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	HGNC ID	HGNC symbol
ENSG00000228572	p22.33	X	253743	255091		
ENSG00000182378	p22.33	X	276322	303356	HGNC:23148	PLCXD1
ENSG00000178605	p22.33	X	304529	318819	HGNC:30189	GTPBP6
ENSG00000226179	p22.33	X	320990	321851	HGNC:27560	LINC00685
ENSG00000167393	p22.33	X	333933	386955	HGNC:13417	PPP2R3B
ENSG00000281849	p22.33	X	386980	405579		
ENSG00000275287	p22.33	X	388100	388389		
ENSG00000280767	p22.33	X	419157	421980		
ENSG00000234958	p22.33	X	523775	524102	HGNC:38717	FABP5P13
ENSG00000229232	p22.33	X	545236	545352	HGNC:38714	KRT18P53
ENSG00000185960	p22.33	X	624344	659411	HGNC:10853	SHOX
ENSG00000237531	p22.33	X	990221	994365		
ENSG00000225661	p22.33	X	1008503	1010101	HGNC:37720	RPL14P5
ENSG00000205755	p22.33	X	1187549	1212723	HGNC:14281	CRLF2
ENSG00000198223	p22.33	X	1268800	1310381	HGNC:2435	CSF2RA
ENSG00000265658	p22.33	X	1293918	1293992	HGNC:38967	MIR3690
ENSG00000223274	p22.33	X	1300256	1300375	HGNC:43398	RNA5SP498
ENSG00000185291	p22.33	X	1336616	1382689	HGNC:6012	IL3RA
ENSG00000169100	p22.33	X	1386152	1392113	HGNC:10992	SLC25A6
ENSG00000236871	p22.33	X	1396427	1399402	HGNC:31843	LINC00106
ENSG00000236017	p22.33	X	1401769	1414028	HGNC:25811	ASMTL-AS1
ENSG00000169093	p22.33	X	1403139	1453762	HGNC:751	ASMTL
ENSG00000182162	p22.33	X	1462581	1537185	HGNC:15524	P2RY8
ENSG00000197976	p22.33	X	1591604	1602520	HGNC:18783	AKAP17A
ENSG00000196433	p22.33	X	1615059	1643081	HGNC:750	ASMT
ENSG00000223511	p22.33	X	1732584	1763212		
ENSG00000234622	p22.33	X	1767347	1768776		
ENSG00000169084	p22.33	X	2219506	2502805	HGNC:18399	DHRSX
ENSG00000223571	p22.33	X	2334295	2336410	HGNC:38713	DHRSX-IT1
ENSG00000214717	p22.33	X	2486414	2500976	HGNC:447	ZBED1
ENSG00000277120	p22.33	X	2609191	2609254	HGNC:50179	MIR6089
ENSG00000223773	p22.33	X	2609348	2657229	HGNC:7083	CD99P1
ENSG00000230542	p22.33	X	2612988	2615347	HGNC:30470	LINC00102
ENSG00000002586	p22.33	X	2691187	2741309	HGNC:7082	CD99
ENSG00000124343	p22.33	X	2752040	2816500	HGNC:12806	XG
