OMIM Search - '+cs_neurologic_exists:true (Search in: Prefixes: #, Chromosomes: 21, 22, X, Y)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101000	NEUROFIBROMATOSIS, TYPE II; NF2		22q12.2		
#103050	ADENYLOSUCCINASE DEFICIENCY; ADSLD		22q13.1		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#115470	CAT EYE SYNDROME; CES		22q11	22:15000000-25500000	
#605275	NOONAN SYNDROME 2; NS2		22q11.21		
#607143	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ig; CDG1G		22q13.33		
#300088	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 9; DEE9		Xq22.1		
#300100	ADRENOLEUKODYSTROPHY; ALD	ADRENOMYELONEUROPATHY, INCLUDED; AMN, INCLUDED	Xq28		
#300106	SPONDYLOEPIMETAPHYSEAL DYSPLASIA, X-LINKED; SEMDX		Xq28		
#300114	RAYNAUD-CLAES SYNDROME; MRXSRC		Xp22.2		
#300143	MENTAL RETARDATION, X-LINKED 21; MRX21		Xp21.3-p21.2		
#300148	MEHMO SYNDROME; MEHMO		Xp22.11		
#300166	MICROPHTHALMIA, SYNDROMIC 2; MCOPS2		Xp11.4		
#609029	EMANUEL SYNDROME		22q11.2	22:17400000-25500000	
#609136	PERIPHERAL DEMYELINATING NEUROPATHY, CENTRAL DYSMYELINATION, WAARDENBURG SYNDROME, AND HIRSCHSPRUNG DISEASE; PCWH		22q13.1		
#145410	OPITZ GBBB SYNDROME, TYPE II; GBBB2		22q11.23		
#145420	HYPERTELORISM, TEEBI TYPE; TBHS		22q11.23		
#162091	SCHWANNOMATOSIS 1; SWNTS1		22q11.23, 22q12.2		
#168600	PARKINSON DISEASE, LATE-ONSET; PD		1q22, 4q23, 6q27, 12q24.12, 13q21.33, 17q21.31, Xq24		
#181500	SCHIZOPHRENIA; SCZD		1p36.2, 1p36.22, 1q32.1, 1q42.2, 3p25.2, 3q13.31, 5q23-q35, 6p23, 6q13-q26, 8p21, 10q22.3, 11q14-q21, 13q14.2, 13q32, 13q33.2, 18p, 22q11.21, 22q11.21, 22q12.3, 22q12.3		
#182410	SNEDDON SYNDROME; SNDNS		22q11.1		
#188400	DIGEORGE SYNDROME; DGS	DIGEORGE SYNDROME CHROMOSOME REGION, INCLUDED; DGCR, INCLUDED	22q11.21		
#190685	DOWN SYNDROME	DOWN SYNDROME CHROMOSOME REGION, INCLUDED; DCR, INCLUDED	21q22.3	21:41200000-46709983	
#192430	VELOCARDIOFACIAL SYNDROME; VCFS		22q11.21		
#210720	MICROCEPHALIC OSTEODYSPLASTIC PRIMORDIAL DWARFISM, TYPE II; MOPD2		21q22.3		
#600850	SCHIZOPHRENIA 4; SCZD4		22q11.21		
#600920	VAN DEN ENDE-GUPTA SYNDROME; VDEGS		22q11.21		
#602541	MUSCULAR DYSTROPHY, CONGENITAL, MEGACONIAL TYPE; MDCMC		22q13.33		
#603041	MITOCHONDRIAL DNA DEPLETION SYNDROME 1 (MNGIE TYPE); MTDPS1		22q13.33		
#603516	SPINOCEREBELLAR ATAXIA 10; SCA10		22q13.31		
#604004	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 1; MLC1		22q13.33		
#604364	EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 1; FFEVF1		22q12.2-q12.3		
#604377	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 2; MC4DN2		22q13.33		
#229100	GLUTAMATE FORMIMINOTRANSFERASE DEFICIENCY		21q22.3		
#231950	GLUTATHIONURIA		22q11.23		
#236200	HOMOCYSTINURIA DUE TO CYSTATHIONINE BETA-SYNTHASE DEFICIENCY	HYPERHOMOCYSTEINEMIA, THROMBOTIC, CBS-RELATED, INCLUDED	21q22.3		
#239500	HYPERPROLINEMIA, TYPE I; HYRPRO1		22q11.21		
#242150	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL RECESSIVE; KIDAR		22q12.2		
