OMIM Search - '+cs_neurologic:("developmental delay" OR "delayed development" OR "Delayed motor development" OR "Delayed psychomotor development" OR "Developmental motor delay" OR "Delayed walking development" OR "Delayed global development" OR "Global developmental delay" OR "Motor delay" OR "Fine motor impairment" OR "Psychomotor delay" OR "Delayed gross motor development" OR "Impaired psychomotor development" OR "Poor motor development" OR "Delay in gross motor development" OR "Lack of motor development" OR "Psychomotor retardation" OR "Lack of psychomotor development" OR "Developmental arrest" OR "Progressive psychomotor deterioration" OR "Developmental regression" OR "Psychomotor development failure" OR "Motor deterioration" OR "Motor retardation" OR "Retarded psychomotor development" OR "Delayed gross motor skills" OR "Arrest of psychomotor development" OR "Delay in motor development" OR "Delayed motor and speech development" OR "Limited gross motor development" OR "No psychomotor development" OR "Loss of motor functions" OR "Retarded motor development" OR "Motor development delayed" OR "Regression of psychomotor development" OR "Absence of development" OR "delayed early gross motor development" OR "absent psychomotor development" OR "Slowed development" OR "Poor fine motor skills" OR "Delayed motor skills" OR "Progressive motor function loss" OR "loss of motor skills" OR "Pervasive developmental disorder" OR "Motor and sensory neuropathy" OR "Delayed motor milestones" OR "Impaired fine motor skills" OR "Locomotor delay" OR "Psychomotor regression" OR "Motor deficits" OR "motor loss" OR "Loss of fine motor skills" OR "Psychomotor degeneration" OR "motor signs" OR "motor neuron" OR "motor skill delay" OR "Developmental retardation" OR "Motor impairment" OR "motor axonal neuropathy" OR "Loss of developmental skills" OR "Developmental deterioration" OR "Delayed developmental milestones" OR "Abnormal development" OR "Delayed early motor milestones" OR "Impaired motor control" OR "Motor regression" OR "Lack of neurologic development" OR "Motor abnormalities" OR "Defects in fine motor skills" OR "Impairment of gross and fine motor coordination" OR "motor incoordination" OR "Psychomotor impairment" OR "Lack of developmental progress" OR "Arrest of development" OR "Lack of development" OR "Lack of developmental progress" OR "Lack of developmental milestones" OR "Developmental disability" OR "Poor or absent global development" OR "Poor or lack of developmental progress" OR "Delayed gross motor milestones" OR "Neuromotor delay") (Search in: Prefixes: #, Chromosomes: 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#618237	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 15; MC1DN15		6q16.1		
#618397	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 39; COXPD39		5q13.3		
#618251	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 31; MC1DN31		3q13.33		
#615290	SPINAL MUSCULAR ATROPHY, LOWER EXTREMITY-PREDOMINANT, 2A, CHILDHOOD ONSET, AUTOSOMAL DOMINANT; SMALED2A		9q22.31		
#619042	SPINAL MUSCULAR ATROPHY, INFANTILE, JAMES TYPE; SMAJI		7p14.3		
#612079	ALOPECIA, NEUROLOGIC DEFECTS, AND ENDOCRINOPATHY SYNDROME; ANES		7q32.1		
#617523	NEURODEVELOPMENTAL DISORDER WITH MIDBRAIN AND HINDBRAIN MALFORMATIONS; NEDMHM		1q22		
#618356	NEURODEVELOPMENTAL DISORDER WITH CENTRAL AND PERIPHERAL MOTOR DYSFUNCTION; NEDCPMD		1q32.1		
#271980	SUCCINIC SEMIALDEHYDE DEHYDROGENASE DEFICIENCY; SSADHD		6p22.3		
#607694	LEUKODYSTROPHY, HYPOMYELINATING, 7, WITH OR WITHOUT OLIGODONTIA AND/OR HYPOGONADOTROPIC HYPOGONADISM; HLD7		10q22.3		
#613670	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND WITH OR WITHOUT AUTISTIC FEATURES		3p13		
#613280	HYPERMANGANESEMIA WITH DYSTONIA 1; HMNDYT1		1q41		
#617804	NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL		3p21.31		
#618049	PARKINSONISM-DYSTONIA, INFANTILE, 2; PKDYS2		10q25.3		
#618917	NEURODEVELOPMENTAL DISORDER WITH LANGUAGE IMPAIRMENT AND BEHAVIORAL ABNORMALITIES; NEDLIB		4q32.1		
#609541	SPASTIC PARAPLEGIA, OPTIC ATROPHY, AND NEUROPATHY; SPOAN		11q13.2		
#614959	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 14; DEE14		9q34.3		
#615119	MITOCHONDRIAL COMPLEX IV DEFICIENCY, NUCLEAR TYPE 6; MC4DN6		10q24.2		
