OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 10, 11, 12, 13)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#101200	APERT SYNDROME	APERT-CROUZON DISEASE, INCLUDED	10q26.13		
#101400	SAETHRE-CHOTZEN SYNDROME; SCS	SAETHRE-CHOTZEN SYNDROME WITH EYELID ANOMALIES, INCLUDED	7p21.1, 10q26.13		
#101600	PFEIFFER SYNDROME	CRANIOFACIAL-SKELETAL-DERMATOLOGIC DYSPLASIA, INCLUDED	8p11.23, 10q26.13		
#101900	ACROKERATOSIS VERRUCIFORMIS; AKV		12q24.11		
#102200	PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1	PITUITARY ADENOMA PREDISPOSITION, INCLUDED; PAP, INCLUDED	11q13.2		
#103780	ALCOHOL DEPENDENCE	ALCOHOL DEPENDENCE, PROTECTION AGAINST, INCLUDED	4p12, 4q23, 4q23, 13q14.2		
#104300	ALZHEIMER DISEASE; AD	ALZHEIMER DISEASE, FAMILIAL, 1, INCLUDED; AD1, INCLUDED	6p22.2, 7q36.1, 10q22.2, 12p13.31, 17q22, 21q21.3		
#105200	AMYLOIDOSIS, FAMILIAL VISCERAL		4q31.3, 11q23.3, 12q15, 15q21.1		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#106100	ANGIOEDEMA, HEREDITARY, TYPE I; HAE1	ANGIOEDEMA, HEREDITARY, TYPE II, INCLUDED; HAE2, INCLUDED	11q12.1		
#106190	ANHIDROSIS, ISOLATED, WITH NORMAL SWEAT GLANDS; ANHD		12p11.23		
#106210	ANIRIDIA 1; AN1	CATARACT, CONGENITAL, WITH LATE-ONSET CORNEAL DYSTROPHY, INCLUDED	11p13		
#107250	ANTERIOR SEGMENT DYSGENESIS 1; ASGD1		10q24.32		
#107600	APLASIA CUTIS CONGENITA, NONSYNDROMIC; ACC		10q11.21		
#108010	ARTERIOVENOUS MALFORMATIONS OF THE BRAIN	INTRACRANIAL HEMORRHAGE IN BRAIN ARTERIOVENOUS MALFORMATIONS, SUSCEPTIBILITY TO, INCLUDED	7p15.3, 12p12.1		
#108300	STICKLER SYNDROME, TYPE I; STL1		12q13.11		
#108600	SPASTIC ATAXIA 1, AUTOSOMAL DOMINANT; SPAX1		12p13.31		
#108985	SVEINSSON CHORIORETINAL ATROPHY; SCRA		11p15.3		
#109400	BASAL CELL NEVUS SYNDROME; BCNS		1p34.1, 9q22.32, 10q24.32		
#109800	BLADDER CANCER		4p16.3, 11p15.5, 12p12.1, 13q14.2		
#112410	HYPERTENSION AND BRACHYDACTYLY SYNDROME; HTNB		12p12.2		
#113500	BRACHYOLMIA TYPE 3; BCYM3		12q24.11		
#113800	EPIDERMOLYTIC HYPERKERATOSIS; EHK	EPIDERMOLYTIC HYPERKERATOSIS, LATE-ONSET, INCLUDED	12q13.13, 17q21.2		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4, SUSCEPTIBILITY TO, INCLUDED	11p11.2		
#116300	CATARACT 30, MULTIPLE TYPES; CTRCT30		10p13		
#117300	CEREBRAL AMYLOID ANGIOPATHY, ITM2B-RELATED, 2		13q14.2		
#120200	COLOBOMA, OCULAR, AUTOSOMAL DOMINANT		11p13		
#120330	PAPILLORENAL SYNDROME; PAPRS		10q24.31		
#120430	COLOBOMA OF OPTIC NERVE	OPTIC NERVE HEAD PITS, BILATERAL CONGENITAL, INCLUDED	11p13		
#120433	COLOBOMA, OCULAR, WITH OR WITHOUT HEARING IMPAIRMENT, CLEFT LIP/PALATE, AND/OR MENTAL RETARDATION; COB1		11q22.1		
#120790	COMPLEMENT COMPONENT 4, PARTIAL DEFICIENCY OF		11q12.1		
#122400	EPITHELIAL RECURRENT EROSION DYSTROPHY; ERED		10q25.1		
#122700	COUMARIN RESISTANCE	COUMARIN SENSITIVITY, INCLUDED	10q23.33, 16p11.2, 19q13.2		
#123150	JACKSON-WEISS SYNDROME; JWS		8p11.23, 10q26.13		
#123500	CROUZON SYNDROME		10q26.13		
#123570	CRYPTOPHTHALMOS, UNILATERAL OR BILATERAL, ISOLATED; CRYPTOP		13q13.3		
#123790	BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS		10q26.13		
#124200	DARIER-WHITE DISEASE; DAR	DARIER DISEASE, ACRAL HEMORRHAGIC TYPE, INCLUDED	12q24.11		
#124500	VOHWINKEL SYNDROME; VOWNKL		13q12.11		
#125370	DENTATORUBRAL-PALLIDOLUYSIAN ATROPHY; DRPLA		12p13.31		
#125800	DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL		12q13.12		
#125852	TYPE 1 DIABETES MELLITUS 2; T1D2		11p15.5		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
#127000	KENNY-CAFFEY SYNDROME, TYPE 2; KCS2		11q12.1		
#129500	CLOUSTON SYNDROME		13q12.11		
#179850	DOWLING-DEGOS DISEASE 1; DDD1		12q13.13		
#180000	RETINAL ARTERIES, TORTUOSITY OF; RATOR		13q34		
#180200	RETINOBLASTOMA; RB1		13q14.2		
#601543	DEAFNESS, AUTOSOMAL DOMINANT 12; DFNA12		11q23.3		
#601544	DEAFNESS, AUTOSOMAL DOMINANT 3A; DFNA3A		13q12.11		
#601626	LEUKEMIA, ACUTE MYELOID; AML	LEUKEMIA, ACUTE MYELOID, SUSCEPTIBILITY TO, INCLUDED	2p23.3, 3q21.3, 3q27-q28, 4q12, 4q12, 5p15.33, 5q35.1, 9p24.1, 9q34.13, 10p12.31, 11q14.2, 12p13.2, 12p12.1, 13q12.2, 16q22.1, 19p13.3, 19q13.11, 21q22.12		
#220150	HYPOURICEMIA, RENAL, 1; RHUC1		11q13.1		
#220290	DEAFNESS, AUTOSOMAL RECESSIVE 1A; DFNB1A	DEAFNESS, DIGENIC, GJB2/GJB6, INCLUDED	1p34.3, 13q12.11, 13q12.11		
#220400	JERVELL AND LANGE-NIELSEN SYNDROME 1; JLNS1		11p15.5-p15.4		
#221200	DEAFNESS AND MYOPIA; DFNMYP		13q31.1		
#221900	PERSISTENT HYPERPLASTIC PRIMARY VITREOUS, AUTOSOMAL RECESSIVE; PHPVAR		10q21.3		
#225060	CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME; CLPED1	OROFACIAL CLEFT 7, INCLUDED; OFC7, INCLUDED	11q23.3		
#225300	SPLIT-HAND/FOOT MALFORMATION 6; SHFM6		12q13.12		
#605253	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL RECESSIVE; CHN1	NEUROPATHY, CONGENITAL HYPOMYELINATING, 1, AUTOSOMAL DOMINANT, INCLUDED	10q21.3		
#605258	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 2; HIGM2		12p13.31		
#605285	NEUROPATHY, HEREDITARY MOTOR AND SENSORY, RUSSE TYPE; HMSNR		10q22.1		
#605309	MACROCEPHALY/AUTISM SYNDROME		10q23.31		
#607101	DEAFNESS, AUTOSOMAL RECESSIVE 30; DFNB30		10p12.1		
#607174	MENINGIOMA, FAMILIAL, SUSCEPTIBILITY TO		10q23.31, 10q24.32, 17q21.2, 22q12.1, 22q12.2, 22q13.1		
#600060	DEAFNESS, AUTOSOMAL RECESSIVE 2; DFNB2		11q13.5		
#600081	VITAMIN D HYDROXYLATION-DEFICIENT RICKETS, TYPE 1B; VDDR1B		11p15.2		
#609040	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 9; ARVD9		12p11.21		
#609048	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 3; CMM3		12q14.1		
#609069	PANCREATIC AND CEREBELLAR AGENESIS; PACA		10p12.2		
#609129	AUDITORY NEUROPATHY, AUTOSOMAL DOMINANT, 1; AUNA1		13q21.2		
#609162	CZECH DYSPLASIA		12q13.11		
#130080	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1		12p13.31		
#130650	BECKWITH-WIEDEMANN SYNDROME; BWS	BECKWITH-WIEDEMANN SYNDROME CHROMOSOME REGION, INCLUDED; BWCR, INCLUDED	11p15.5, 11p15.5, 11p15.4		
#131100	MULTIPLE ENDOCRINE NEOPLASIA, TYPE I; MEN1	MEN1 SOMATIC MUTATIONS, INCLUDED	11q13.1		
#131760	EPIDERMOLYSIS BULLOSA SIMPLEX, DOWLING-MEARA TYPE; EBSDM		12q13.13, 17q21.2		
#131800	EPIDERMOLYSIS BULLOSA SIMPLEX, LOCALIZED		12q13.13, 17q21.2, 17q25.1		
#131900	EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED		12q13.13, 17q21.2		
#131960	EPIDERMOLYSIS BULLOSA SIMPLEX WITH MOTTLED PIGMENTATION; EBSMP		12q13.13		
#132450	EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH MYOPIA AND CONDUCTIVE DEAFNESS; EDMMD		12q13.11		
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1		9p24.1, 12q24.12, 19p13.2		
#133180	ERYTHROLEUKEMIA, FAMILIAL, SUSCEPTIBILITY TO; FERLK		12q13.2		
#133239	ESOPHAGEAL CANCER	ESOPHAGEAL SQUAMOUS CELL CARCINOMA, SUSCEPTIBILITY TO, INCLUDED	3p24.1, 8p21.3, 13q12.13, 16q23.1-q23.2, 18q21.2		
#133540	COCKAYNE SYNDROME B; CSB		10q11.23		
#133701	EXOSTOSES, MULTIPLE, TYPE II; EXT2		11p11.2		
#133780	EXUDATIVE VITREORETINOPATHY 1; EVR1	RETINOPATHY OF PREMATURITY, INCLUDED; ROP, INCLUDED	11q14.2		
#135700	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 1; CFEOM1	FIBROSIS OF EXTRAOCULAR MUSCLES, CONGENITAL, 3B, INCLUDED; CFEOM3B, INCLUDED	12q12		
#136520	FOVEAL HYPOPLASIA 1; FVH1		11p13		
#136630	MENTAL RETARDATION, FRA12A TYPE		12q13.12		
#136680	FRASIER SYNDROME		11p13		
#136880	FUNDUS ALBIPUNCTATUS	RETINITIS PUNCTATA ALBESCENS, INCLUDED	3q22.1, 6p21.1, 12q13.2, 15q26.1		
#137215	GASTRIC CANCER, HEREDITARY DIFFUSE; HDGC	BREAST CANCER, LOBULAR, INCLUDED; LBC, INCLUDED	2q14.1, 2q14.1, 12p12.1, 16q22.1		
#137550	MELANOCYTIC NEVUS SYNDROME, CONGENITAL; CMNS	NEVUS SPILUS, INCLUDED	1p13.2, 11p15.5		
#137580	GILLES DE LA TOURETTE SYNDROME; GTS	CHRONIC MOTOR TICS, INCLUDED	11q23	11:110600000-121300000	
#137760	GLAUCOMA, PRIMARY OPEN ANGLE; POAG	GLAUCOMA 1, OPEN ANGLE, E, INCLUDED; GLC1E, INCLUDED	10p13		
#140350	HAWKINSINURIA		12q24.31		
#140700	HEINZ BODY ANEMIAS		11p15.4, 16p13.3, 16p13.3		
#141749	FETAL HEMOGLOBIN QUANTITATIVE TRAIT LOCUS 1; HBFQTL1	DELTA-BETA THALASSEMIA, INCLUDED	11p15.4, 11p15.4, 11p15.4		
#142330	HEPATIC ADENOMAS, FAMILIAL		12q24.31		
#142623	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1; HSCR1	HIRSCHSPRUNG DISEASE, PROTECTION AGAINST, INCLUDED	10q11.21		
#142680	PERIODIC FEVER, FAMILIAL, AUTOSOMAL DOMINANT; FPF		12p13.31		
#142900	HOLT-ORAM SYNDROME; HOS		12q24.21		
#143095	SPONDYLOEPIPHYSEAL DYSPLASIA WITH CONGENITAL JOINT DISLOCATIONS; SEDCJD		10q22.1		
#143465	ATTENTION DEFICIT-HYPERACTIVITY DISORDER; ADHD		4p16.1, 5p13, 6q12, 11p15.5, 16p13, 17p11		
#144200	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC; EPPK	PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC, WITH KNUCKLE PADS, INCLUDED	12q13.13, 17q21.2		
#144650	HYPERLIPOPROTEINEMIA, TYPE V		11q23.3		
#144750	ENDOSTEAL HYPEROSTOSIS, AUTOSOMAL DOMINANT		11q13.2		
#145250	HYPERPIGMENTATION WITH OR WITHOUT HYPOPIGMENTATION, FAMILIAL PROGRESSIVE; FPHH		12q21.32		
#145500	HYPERTENSION, ESSENTIAL		1p36.12, 1q23.3, 1q24.2, 1q42.2, 2p25-p24, 3q24, 4p16.3, 5p13-q12, 7q22.1, 7q36.1, 12p13.31, 12p12.2-p12.1, 15q, 17q, 20q11-q13, 20q13.13		
#145750	HYPERTRIGLYCERIDEMIA, FAMILIAL		11q23.3		
#145900	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS		1q23.3, 10q21.3, 17p12, 19q13.2		
#146200	HYPOPARATHYROIDISM, FAMILIAL ISOLATED, 1; FIH1		11p15.3		
#146255	HYPOPARATHYROIDISM, SENSORINEURAL DEAFNESS, AND RENAL DISEASE; HDR		10p14		
#146590	ICHTHYOSIS HYSTRIX, CURTH-MACKLIN TYPE; IHCM		12q13.13		
#146800	ICHTHYOSIS BULLOSA OF SIEMENS; IBS	ICHTHYOSIS EXFOLIATIVA, INCLUDED	12q13.13		
#147050	IgE RESPONSIVENESS, ATOPIC; IGER	IgE, ELEVATED LEVEL OF, INCLUDED	6p12.3, 11q12.1, 16p12.1, 16p12.1		
#147791	JACOBSEN SYNDROME; JBS		11q23.3-q25	11:114600000-135086622	
#147920	KABUKI SYNDROME 1; KABUK1		12q13.12		
#148190	KERATITIS, HEREDITARY		11p13		
#148210	KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT; KIDAD		13q12.11		
#148350	KERATODERMA, PALMOPLANTAR, WITH DEAFNESS		13q12.11		
