OMIM Search - '(Search in: Entries with: Clinical synopsis, Prefixes: #, Chromosomes: 1, 2)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#100100	PRUNE BELLY SYNDROME; PBS		1q43		
#102500	HAJDU-CHENEY SYNDROME; HJCYS		1p12		
#102900	ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES		1q22		
#104200	ALPORT SYNDROME 3, AUTOSOMAL DOMINANT; ATS3		2q36.3		
#104290	ALTERNATING HEMIPLEGIA OF CHILDHOOD 1; AHC1		1q23.2		
#104530	AMELOGENESIS IMPERFECTA, TYPE IA; AI1A		1q32.2		
#105400	AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1	AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE, INCLUDED	2p13.1, 12q13.12, 21q22.11, 22q12.2		
#108770	ATRIAL STANDSTILL 1; ATRST1		1q21.2		
#109400	BASAL CELL NEVUS SYNDROME; BCNS		1p34.1, 9q22.32, 10q24.32		
#110700	BLOOD GROUP, DUFFY SYSTEM; FY	PLASMODIUM VIVAX, RESISTANCE TO, INCLUDED	1q23.2		
#112500	BRACHYDACTYLY, TYPE A1; BDA1		2q35		
#113200	BRACHYDACTYLY, TYPE D; BDD		2q31.1		
#113300	BRACHYDACTYLY, TYPE E1; BDE1		2q31.1		
#114480	BREAST CANCER	BREAST CANCER, FAMILIAL MALE, INCLUDED	1p34.1, 2q33.1, 2q35, 3q26.32, 5q34, 6p25.2, 6q25.1-q25.2, 8q11.23, 11p15.4, 11q22.3, 12p12.1, 13q13.1, 14q32.33, 14q32.33, 15q15.1, 16p12.2, 16q22.1, 17p13.1, 17q21.33, 17q23.2, 17q23.2, 22q12.1		
#114500	COLORECTAL CANCER; CRC		1p36.13, 1p13.2, 2q13, 3p22.1, 3q26.32, 4p16.3, 4q31.3, 5q22.2, 5q22.2, 7q11.23, 8p22, 8p22, 8q22.1, 11p11.2, 11q13.3, 14q24.3, 14q32.33, 15q15.1, 17p13.1, 17p11.2, 17q24.1, 18q21.2, 19q13.33, 20q11.23, 20q13.2, 22q13.2		
#114550	HEPATOCELLULAR CARCINOMA	HEPATOBLASTOMA, INCLUDED	2q33.1, 3p22.1, 3q26.32, 5q22.2, 6q25.3, 7q31.2, 8p22, 16p13.3, 17p13.1		
#115195	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 2; CMH2		1q32.1		
#115200	CARDIOMYOPATHY, DILATED, 1A; CMD1A		1q22		
#115310	PARAGANGLIOMAS 4; PGL4		1p36.13		
#115700	CATARACT 4, MULTIPLE TYPES; CTRCT4		2q33.3		
#115900	CATARACT 42; CTRCT42		2q35		
#116200	CATARACT 1, MULTIPLE TYPES; CTRCT1		1q21.2		
#116600	CATARACT 6, MULTIPLE TYPES; CTRCT6		1p36.13		
#118200	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1B; CMT1B		1q23.3		
#118210	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2A1; CMT2A1		1p36.22		
#118800	PAROXYSMAL NONKINESIGENIC DYSKINESIA 1; PNKD1		2q35		
#119300	VAN DER WOUDE SYNDROME 1; VWS1		1q32.2		
#119500	POPLITEAL PTERYGIUM SYNDROME; PPS		1q32.2		
#120100	FAMILIAL COLD AUTOINFLAMMATORY SYNDROME 1; FCAS1		1q44		
#120435	LYNCH SYNDROME I	LYNCH SYNDROME II, INCLUDED	2p21-p16		
#121800	SCHNYDER CORNEAL DYSTROPHY; SCCD		1p36.22		
#121850	CORNEAL DYSTROPHY, FLECK		2q34		
#122880	CRANIOFACIAL-DEAFNESS-HAND SYNDROME; CDHS		2q36.1		
#124000	MITOCHONDRIAL COMPLEX III DEFICIENCY, NUCLEAR TYPE 1; MC3DN1		2q35		
#125853	TYPE 2 DIABETES MELLITUS; T2D	INSULIN RESISTANCE, SUSCEPTIBILITY TO, INCLUDED	2q24.1, 2q31.3, 2q36.3, 3p25.2, 3q26.2, 3q27.2, 4p16.1, 5q34-q35.2, 6p21.31, 6q23.2, 7p13, 7q31.1, 7q32.1, 8q24.11, 10q25.2-q25.3, 11p15.1, 11p15.1, 11p11.2, 11q14.3, 12q24.31, 13q12.2, 13q34, 15q21.3, 17q12, 19p13.2, 19q13.2, 20q13.12, 20q13.13		
