OMIM Search - '+cs_neurologic:("language impairment" OR "language delay" OR "Language development deficit" OR "Poor language" OR "No language" OR "Poor language development " OR "Absence of language development " OR "Delayed language development " OR "No language development " OR "Language difficulties" OR "Deficits in language expression" OR "Language delayed" OR "Delayed speech development" OR "Delayed linguistic development" OR "Delayed verbal development" OR "Speech limited" OR "Lack of verbal communication" OR "Impaired expressive speech" OR "Verbal delay" OR "Poor speech" OR "Speech delay" OR "Absent language" OR "Speech and language disorders" OR "No speech or language development" OR "Language disabilities" OR "Speech impairment" OR "Delayed speech and language" OR "Speech and language regression" OR "Impaired language development" OR "Lack of language development" OR "Limited memory, attention, language" OR "Language limited to short repetitive phrases" OR "Delayed language acquisition" OR "Limited expressive language" OR "Language development limited to a few words" OR "Delayed language" OR "Limited language acquisition" OR "No acquisition of language milestones" OR "Delayed speech" OR "Speech deficits" OR "Lack of expressive speech" OR "poor expressive speech" OR "Poor or absent speech" OR "absent speech" OR "Impaired speech" OR "Loss of speech" OR "Lack of speech" OR "Speech disability" OR "Loss of language" OR "Disorganized speech" OR "Speech disturbance" OR "Verbal outbursts" OR "language deterioration" OR "sparing of language" OR "Social, language, and cognitive development impaired" OR "Limited memory, attention, language" OR "Specific severe delayed spoken language development" OR "Language acquisition difficulties" OR "Speech defects" OR "Speech deterioration" OR "Slow speech" OR "Speech disorder" OR "Speech abnormality" OR "No speech acquisition" OR "Speech problems" OR "No or limited speech" OR "Expressive speech absent" OR "Speech, learning and behavior modifier" OR "No speech development" OR "Unintelligible speech" OR "Delayed motor and speech development" OR "No speech" OR "Speech sound disorder" OR "Speech never acquired" OR "Absent or limited speech development" OR "Speech absent or delayed" OR "Speech difficulties" OR "Speech development delayed" OR "No expressive speech" OR "Decreased speech" OR "Absence of speech" OR "Speech severely limited or absent" OR "Speech articulation disorder" OR "Speech apraxia" OR "Speech articulation defects" OR "Limited speech" OR "No communication") (Search in: Prefixes: #)'
Downloaded:	Nov 17, 2020
Copyright (c) 1966-2020 Johns Hopkins University OMIM, data are provided for research purposes only.

MIM Number	Title	Included Titles	Cytogenetic Location	Genomic Coordinates (From NCBI/GRCh38)	Entrez Gene ID
#300271	MENTAL RETARDATION, X-LINKED 72; MRX72		Xq28		
#608629	JOUBERT SYNDROME 3; JBTS3		6q23.3		
#612736	CEREBRAL CREATINE DEFICIENCY SYNDROME 2; CCDS2		19p13.3		
#613192	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13; MRT13		8q24.3		
#611091	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5; MRT5		5p15.31		
#615828	VULTO-VAN SILFHOUT-DE VRIES SYNDROME; VSVS		11p15.5		
#615663	WARBURG MICRO SYNDROME 4; WARBM4		20p13		
#618425	NEURODEVELOPMENTAL DISORDER WITH IMPAIRED SPEECH AND HYPERKINETIC MOVEMENTS; NEDISHM		2q35		
#616863	HAO-FOUNTAIN SYNDROME; HAFOUS	CHROMOSOME 16p13.2 DELETION SYNDROME, INCLUDED	16p13.2		
#614104	MENTAL RETARDATION, AUTOSOMAL DOMINANT 7; MRD7		21q22.13		
#300114	RAYNAUD-CLAES SYNDROME; MRXSRC		Xp22.2		
#615009	SCHUURS-HOEIJMAKERS SYNDROME; SHMS		11q13.1-q13.2		
#618876	EPILEPSY, PROGRESSIVE MYOCLONIC, 11; EPM11		19p13.3		
#610954	PITT-HOPKINS SYNDROME; PTHS		18q21.2		
#610185	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 2; CAMRQ2		17p13.3		
#617807	NEURODEVELOPMENTAL DISORDER WITH ATAXIC GAIT, ABSENT SPEECH, AND DECREASED CORTICAL WHITE MATTER; NDAGSCW		19p13.2		
#615802	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 42; MRT42		2q33.1		
#618056	NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR ATROPHY AND WITH OR WITHOUT SEIZURES; NEDCAS		7p22.3		
#618603	NEURODEVELOPMENTAL DISORDER WITH HYPOTONIA AND VARIABLE INTELLECTUAL AND BEHAVIORAL ABNORMALITIES; NEDHIB		17p13.1		
#617062	OKUR-CHUNG NEURODEVELOPMENTAL SYNDROME; OCNDS		20p13		
#616482	ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS; SADDAN		4p16.3		
#611726	EPILEPSY, PROGRESSIVE MYOCLONIC, 3, WITH OR WITHOUT INTRACELLULAR INCLUSIONS; EPM3		7q11.21		
#615547	SCHAAF-YANG SYNDROME; SHFYNG		15q11.2		
