Gene stable ID	Transcript stable ID	Transcript stable ID version	HGNC ID	HGNC symbol	Gene start (bp)	Gene end (bp)	Transcription start site (TSS)	GENCODE basic annotation	APPRIS annotation	RefSeq match transcript	Transcript start (bp)	Transcript end (bp)
ENSG00000228572	ENST00000431238	ENST00000431238.7			253743	255091	253743	GENCODE basic			253743	255091
ENSG00000182378	ENST00000399012	ENST00000399012.6	HGNC:23148	PLCXD1	276322	303356	276322	GENCODE basic	principal1		276322	303353
ENSG00000182378	ENST00000484611	ENST00000484611.7	HGNC:23148	PLCXD1	276322	303356	276324				276324	291537
ENSG00000182378	ENST00000430923	ENST00000430923.7	HGNC:23148	PLCXD1	276322	303356	276353				276353	291629
ENSG00000182378	ENST00000445062	ENST00000445062.6	HGNC:23148	PLCXD1	276322	303356	281055				281055	288869
ENSG00000182378	ENST00000381657	ENST00000381657.8	HGNC:23148	PLCXD1	276322	303356	281381	GENCODE basic	principal1	NM_018390.4	281381	303356
ENSG00000182378	ENST00000429181	ENST00000429181.6	HGNC:23148	PLCXD1	276322	303356	281194				281194	288787
ENSG00000182378	ENST00000443019	ENST00000443019.6	HGNC:23148	PLCXD1	276322	303356	283163				283163	288829
ENSG00000182378	ENST00000415337	ENST00000415337.6	HGNC:23148	PLCXD1	276322	303356	283465				283465	291639
ENSG00000182378	ENST00000447472	ENST00000447472.6	HGNC:23148	PLCXD1	276322	303356	283479				283479	291629
ENSG00000182378	ENST00000448477	ENST00000448477.6	HGNC:23148	PLCXD1	276322	303356	283734				283734	290757
ENSG00000182378	ENST00000381663	ENST00000381663.8	HGNC:23148	PLCXD1	276322	303356	281462	GENCODE basic	principal1		281462	303353
ENSG00000178605	ENST00000485332	ENST00000485332.7	HGNC:30189	GTPBP6	304529	318819	312463				304529	312463
ENSG00000178605	ENST00000326153	ENST00000326153.9	HGNC:30189	GTPBP6	304529	318819	318819	GENCODE basic	principal1		304750	318819
ENSG00000226179	ENST00000391707	ENST00000391707.7	HGNC:27560	LINC00685	320990	321851	320990	GENCODE basic			320990	321851
